Gene,Sample,Sample_Type,Expression
206559_x_at,GSM398074,Normal,6209.89
206559_x_at,GSM398075,Cancer,9060.41
206559_x_at,GSM398076,Normal,7140.51
206559_x_at,GSM398077,Cancer,7862.39
206559_x_at,GSM398078,Normal,7120.25
206559_x_at,GSM398079,Cancer,6406.97
206559_x_at,GSM398080,Normal,4654.02
206559_x_at,GSM398081,Cancer,8245.61
206559_x_at,GSM398082,Normal,6439.1
206559_x_at,GSM398083,Cancer,5765.36
206559_x_at,GSM398084,Normal,5382.41
206559_x_at,GSM398085,Cancer,6883.89
206559_x_at,GSM398086,Normal,6945.56
206559_x_at,GSM398087,Cancer,5284.35
206559_x_at,GSM398088,Normal,5741.18
206559_x_at,GSM398089,Cancer,9103.03
206559_x_at,GSM398090,Normal,5437.86
206559_x_at,GSM398091,Cancer,9274.25
206559_x_at,GSM398092,Normal,4614.93
206559_x_at,GSM398093,Cancer,6970.9
206559_x_at,GSM398094,Normal,7210.82
206559_x_at,GSM398095,Cancer,7107.53
206559_x_at,GSM398096,Normal,8122.93
206559_x_at,GSM398097,Cancer,3163.84
206559_x_at,GSM398098,Normal,6562.24
206559_x_at,GSM398099,Cancer,5386.52
206559_x_at,GSM398100,Normal,3879.16
206559_x_at,GSM398101,Cancer,7369.18
206559_x_at,GSM398102,Normal,7927.4
206559_x_at,GSM398103,Cancer,8154.67
206559_x_at,GSM398104,Normal,14234.1
206559_x_at,GSM398105,Cancer,6047.26
206559_x_at,GSM398106,Normal,12544.9
206559_x_at,GSM398107,Cancer,6069.44
206559_x_at,GSM398108,Normal,12472.5
206559_x_at,GSM398109,Cancer,6622.18
206559_x_at,GSM398110,Normal,13096.8
206559_x_at,GSM398111,Cancer,6834.38
206559_x_at,GSM398112,Normal,6933.36
206559_x_at,GSM398113,Cancer,9285.51
206559_x_at,GSM398114,Normal,7219.67
206559_x_at,GSM398115,Cancer,6886.12
206559_x_at,GSM398116,Normal,15084.5
206559_x_at,GSM398117,Cancer,11601.3
206559_x_at,GSM398118,Normal,11443.3
206559_x_at,GSM398119,Cancer,10574.3
206559_x_at,GSM398120,Normal,7648.45
206559_x_at,GSM398121,Cancer,8551.23
206559_x_at,GSM398122,Normal,6975.54
206559_x_at,GSM398123,Cancer,6949.28
206559_x_at,GSM398124,Normal,9478.13
206559_x_at,GSM398125,Cancer,10859.0
206559_x_at,GSM398126,Normal,14630.9
206559_x_at,GSM398127,Cancer,15624.6
206559_x_at,GSM398128,Normal,13052.3
206559_x_at,GSM398129,Cancer,11997.1
206559_x_at,GSM398130,Normal,12505.8
206559_x_at,GSM398131,Cancer,12109.9
206559_x_at,GSM398132,Normal,12798.3
206559_x_at,GSM398133,Cancer,12270.7
206559_x_at,GSM398134,Normal,9103.74
206559_x_at,GSM398135,Cancer,13638.9
206559_x_at,GSM398136,Normal,10913.3
206559_x_at,GSM398137,Cancer,12644.3
206559_x_at,GSM398138,Normal,8407.36
206559_x_at,GSM398139,Cancer,10211.1
206559_x_at,GSM398140,Normal,11158.6
206559_x_at,GSM398141,Cancer,10656.7
206559_x_at,GSM398142,Normal,10898.3
206559_x_at,GSM398143,Cancer,11398.5
206559_x_at,GSM398144,Normal,12206.5
206559_x_at,GSM398145,Cancer,13271.4
206559_x_at,GSM398146,Normal,12965.4
206559_x_at,GSM398147,Cancer,13940.5
206559_x_at,GSM398148,Normal,11839.5
206559_x_at,GSM398149,Cancer,12982.0
206559_x_at,GSM398150,Normal,11292.6
206559_x_at,GSM398151,Cancer,13169.4
206559_x_at,GSM398152,Normal,12632.1
206559_x_at,GSM398153,Cancer,9993.86
206559_x_at,GSM398154,Normal,6225.64
206559_x_at,GSM398155,Cancer,9619.29
206559_x_at,GSM398156,Normal,12282.4
206559_x_at,GSM398157,Cancer,14993.2
206559_x_at,GSM398158,Normal,16091.3
206559_x_at,GSM398159,Cancer,13303.4
208246_x_at,GSM398074,Normal,511.42
208246_x_at,GSM398075,Cancer,2710.53
208246_x_at,GSM398076,Normal,703.263
208246_x_at,GSM398077,Cancer,1493.86
208246_x_at,GSM398078,Normal,1423.69
208246_x_at,GSM398079,Cancer,2271.95
208246_x_at,GSM398080,Normal,528.511
208246_x_at,GSM398081,Cancer,2496.4
208246_x_at,GSM398082,Normal,406.863
208246_x_at,GSM398083,Cancer,511.036
208246_x_at,GSM398084,Normal,541.392
208246_x_at,GSM398085,Cancer,1593.27
208246_x_at,GSM398086,Normal,528.62
208246_x_at,GSM398087,Cancer,411.863
208246_x_at,GSM398088,Normal,318.528
208246_x_at,GSM398089,Cancer,930.216
208246_x_at,GSM398090,Normal,614.26
208246_x_at,GSM398091,Cancer,989.859
208246_x_at,GSM398092,Normal,180.861
208246_x_at,GSM398093,Cancer,222.978
208246_x_at,GSM398094,Normal,1126.06
208246_x_at,GSM398095,Cancer,1546.0
208246_x_at,GSM398096,Normal,1801.13
208246_x_at,GSM398097,Cancer,3501.7
208246_x_at,GSM398098,Normal,957.882
208246_x_at,GSM398099,Cancer,715.27
208246_x_at,GSM398100,Normal,1699.11
208246_x_at,GSM398101,Cancer,2483.72
208246_x_at,GSM398102,Normal,1805.08
208246_x_at,GSM398103,Cancer,3230.33
208246_x_at,GSM398104,Normal,2528.06
208246_x_at,GSM398105,Cancer,2459.41
208246_x_at,GSM398106,Normal,2824.57
208246_x_at,GSM398107,Cancer,2557.23
208246_x_at,GSM398108,Normal,2114.75
208246_x_at,GSM398109,Cancer,3701.05
208246_x_at,GSM398110,Normal,2312.25
208246_x_at,GSM398111,Cancer,2911.26
208246_x_at,GSM398112,Normal,1027.82
208246_x_at,GSM398113,Cancer,2560.32
208246_x_at,GSM398114,Normal,794.779
208246_x_at,GSM398115,Cancer,1613.67
208246_x_at,GSM398116,Normal,2926.06
208246_x_at,GSM398117,Cancer,1052.39
208246_x_at,GSM398118,Normal,1940.57
208246_x_at,GSM398119,Cancer,1941.83
208246_x_at,GSM398120,Normal,859.394
208246_x_at,GSM398121,Cancer,1252.83
208246_x_at,GSM398122,Normal,1342.72
208246_x_at,GSM398123,Cancer,1136.69
208246_x_at,GSM398124,Normal,650.537
208246_x_at,GSM398125,Cancer,2870.43
208246_x_at,GSM398126,Normal,4059.96
208246_x_at,GSM398127,Cancer,3162.54
208246_x_at,GSM398128,Normal,1188.58
208246_x_at,GSM398129,Cancer,1361.64
208246_x_at,GSM398130,Normal,470.153
208246_x_at,GSM398131,Cancer,3026.22
208246_x_at,GSM398132,Normal,2443.27
208246_x_at,GSM398133,Cancer,3790.57
208246_x_at,GSM398134,Normal,572.259
208246_x_at,GSM398135,Cancer,1674.66
208246_x_at,GSM398136,Normal,2530.19
208246_x_at,GSM398137,Cancer,1965.66
208246_x_at,GSM398138,Normal,177.315
208246_x_at,GSM398139,Cancer,2679.46
208246_x_at,GSM398140,Normal,491.261
208246_x_at,GSM398141,Cancer,317.689
208246_x_at,GSM398142,Normal,1308.94
208246_x_at,GSM398143,Cancer,3502.66
