Sample,Sample_Type,Title
GSM398074,Normal,Normal BC0043N
GSM398075,Cancer,Cancer BC0043T
GSM398076,Normal,Normal BC0051N
GSM398077,Cancer,Cancer BC0051T
GSM398078,Normal,Normal BC0057N
GSM398079,Cancer,Cancer BC0057T
GSM398080,Normal,Normal BC0087N
GSM398081,Cancer,Cancer BC0087T
GSM398082,Normal,Normal BC0109N
GSM398083,Cancer,Cancer BC0109T
GSM398084,Normal,Normal BC0112N
GSM398085,Cancer,Cancer BC0112T
GSM398086,Normal,Normal BC0113N
GSM398087,Cancer,Cancer BC0113T
GSM398088,Normal,Normal BC0117N
GSM398089,Cancer,Cancer BC0117T
GSM398090,Normal,Normal BC0122N
GSM398091,Cancer,Cancer BC0122T
GSM398092,Normal,Normal BC0126N
GSM398093,Cancer,Cancer BC0126T
GSM398094,Normal,Normal BC0127N
GSM398095,Cancer,Cancer BC0127T
GSM398096,Normal,Normal BC0138N
GSM398097,Cancer,Cancer BC0138T
GSM398098,Normal,Normal BC0142N
GSM398099,Cancer,Cancer BC0142T
GSM398100,Normal,Normal BC0147N
GSM398101,Cancer,Cancer BC0147T
GSM398102,Normal,Normal BC0151N
GSM398103,Cancer,Cancer BC0151T
GSM398104,Normal,Normal BC0152N
GSM398105,Cancer,Cancer BC0152T
GSM398106,Normal,Normal BC0153N
GSM398107,Cancer,Cancer BC0153T
GSM398108,Normal,Normal BC0155N
GSM398109,Cancer,Cancer BC0155T
GSM398110,Normal,Normal BC0156N
GSM398111,Cancer,Cancer BC0156T
GSM398112,Normal,Normal BC0158N
GSM398113,Cancer,Cancer BC0158T
GSM398114,Normal,Normal BC0159N
GSM398115,Cancer,Cancer BC0159T
GSM398116,Normal,Normal BC0160N
GSM398117,Cancer,Cancer BC0160T
GSM398118,Normal,Normal BC0163N
GSM398119,Cancer,Cancer BC0163T
GSM398120,Normal,Normal BC0164N
GSM398121,Cancer,Cancer BC0164T
GSM398122,Normal,Normal BC0165N
GSM398123,Cancer,Cancer BC0165T
GSM398124,Normal,Normal BC0168N
GSM398125,Cancer,Cancer BC0168T
GSM398126,Normal,Normal BC0170N
GSM398127,Cancer,Cancer BC0170T
GSM398128,Normal,Normal BC0171N
GSM398129,Cancer,Cancer BC0171T
GSM398130,Normal,Normal BC0172N
GSM398131,Cancer,Cancer BC0172T
GSM398132,Normal,Normal BC0173N
GSM398133,Cancer,Cancer BC0173T
GSM398134,Normal,Normal BC0174N
GSM398135,Cancer,Cancer BC0174T
GSM398136,Normal,Normal BC0177N
GSM398137,Cancer,Cancer BC0177T
GSM398138,Normal,Normal BC0179N
GSM398139,Cancer,Cancer BC0179T
GSM398140,Normal,Normal BC0180N
GSM398141,Cancer,Cancer BC0180T
GSM398142,Normal,Normal BC0181N
GSM398143,Cancer,Cancer BC0181T
GSM398144,Normal,Normal BC0183N
GSM398145,Cancer,Cancer BC0183T
GSM398146,Normal,Normal BC0185N
GSM398147,Cancer,Cancer BC0185T
GSM398148,Normal,Normal BC0186N
GSM398149,Cancer,Cancer BC0186T
GSM398150,Normal,Normal BC0188N
GSM398151,Cancer,Cancer BC0188T
GSM398152,Normal,Normal BC0190N
GSM398153,Cancer,Cancer BC0190T
GSM398154,Normal,Normal BC0191N
GSM398155,Cancer,Cancer BC0191T
GSM398156,Normal,Normal BC0192N
GSM398157,Cancer,Cancer BC0192T
GSM398158,Normal,Normal BC0194N
GSM398159,Cancer,Cancer BC0194T
